Positioner latitude longitude
Fladfisk_1 55.26.724 11.05.302
Fladfisk_2 55.21.700 11.01.278
Fladfisk_3 55.22.845 10.57.467
Fladfisk_4 55.26.771 11.04.222
Fladfisk_5 55.26.607 11.04.469
Fladfisk_6 55.26.625 11.04.715
Fladfisk_7 55.30.320 11.06.008
Fladfisk_8 55.18.887 10.57.747
Fladfisk_9 55.19.362 10.57.261
Fladfisk_10 55.23.200 10.58.715
Fladfisk_11 55.25.737 11.06.075
