Fish_type Location_name latitude longitude
unknown Jacoff_Prosoroff_(Vrag) 55.12.012 12.41.834
unknown Junker_88_(Vrag) 55.08.781 12.36.555
unknown Kamilla_(Vrag) 55.13.193 12.40.802
unknown Kobberskibet_(Vrag) 55.24.344 12.38.269
unknown Minos_(Vrag) 55.11.356 12.38.133
unknown Møen_(Vrag) 55.46.628 12.45.568
unknown Sinne_(Vrag) 55.49.120 12.42.095
unknown Sjollenvraget_(Vrag) 55.37.861 12.54.823
unknown Skovshovedhullerne 55.45.943 12.38.135
unknown Stella_Mojac_(Vrag) 55.09.189 12.34.377
unknown Vapper_(Vrag) 55.14.425 12.48.155
unknown Navnløs_(Vrag) 55.24.344 12.28.269
unknown Runuchi_(Vrag) 55.28.908 12.46.532
unknown Dannebroge_(Vrag) 55.29.513 12.30.164
unknown Træskib_(Vrag) 55.24.405 12.34.926
unknown Torsk_1 55.27.890 12.13.850
unknown Torsk_2 55.29.310 12.16.920
unknown Fladfisk_1_(Efterår) 54.58.233 11.02.353
unknown Fladfisk_2_(Efterår) 54.58.573 11.04.211
unknown Fladfisk_3_(Efterår) 54.59.435 11.04.190
unknown Fladfisk_4_(Efterår) 54.58.182 11.03.451
unknown Fladfisk_5_(Efterår) 55.00.375 11.06.444
unknown Fladfisk_6_Pighvar_(Efterår) 55.01.172 11.05.849
unknown Fladfisk_7_(Efterår) 54.59.781 11.05.474
unknown Fladfisk_8_(Efterår) 54.59.829 11.04.506
unknown Fladfisk_9_(Efterår) 55.00.249 11.05.822
unknown Fladfisk_10_(Efterår) 55.00.233 11.05.953
unknown Fladfisk_11_(Efterår) 54.59.815 11.04.728
unknown Fladfisk_12_(Efterår) 54.59.931 11.04.845
unknown Fladfisk_13_(Efterår) 54.59.943 11.04.802
unknown Fladfisk_14_(Efterår) 55.00.286 11.06.834
unknown Fladfisk_15_(Efterår) 54.59.975 11.04.859
unknown Fladfisk_16_(Efterår) 54.59.886 11.04.895
unknown Fladfisk_17_(Efterår) 54.59.296 11.06.342
unknown Fladfisk_18_(Efterår) 55.00.204 11.05.769
unknown Fladfisk_19_(Efterår) 54.53.888 10.56.175
unknown Fladfisk_20_(Efterår) 54.53.729 10.56.902
unknown Fladfisk_21_(Efterår) 54.53.130 10.56.056
unknown Fladfisk_22_(Efterår) 54.52.657 10.55.505
unknown Fladfisk_23_(Efterår) 54.55.217 10.58.132
unknown Fladfisk_24_(Efterår) 54.54.987 10.55.913
unknown Fladfisk_25_(Efterår) 54.54.597 10.57.129
unknown Fladfisk_26_(Efterår) 54.56.494 10.59.749
unknown Fladfisk_27_(Efterår) 54.55.116 10.59.083
unknown Fladfisk_28_(Efterår) 54.53.680 10.58.326
unknown Fladfisk_29_(Efterår) 54.55.697 10.55.912
unknown Torsk_1 54.59.291 11.01.274
unknown Torsk_2 55.01.040 11.01.440
unknown Torsk_3 55.02.105 11.00.103
unknown DW48_(Trekantområde_1) 54.58.329 10.58.541
unknown DW49_(Trekantområde_2) 54.59.133 10.58.026
unknown DW51_(Trekantområde_3) 54.58.391 10.57.326
unknown Bjelkes_Flak 54.55.224 12.32.834
unknown Bjelkes_Flak 54.54.936 12.30.751
unknown Klintekysten 54.56.589 12.33.091
unknown Klintekysten 54.57.068 12.33.586
unknown Bananen_Nord 54.54.924 12.34.802
unknown Bananen_Midt 54.53.966 12.32.730
unknown Bananen_Syd 54.53.602 12.30.518
unknown Leif’s_Spot 54.55.920 12.41.603
unknown Fladfisk_1 55.26.724 11.05.302
unknown Fladfisk_2 55.21.700 11.01.278
unknown Fladfisk_3 55.22.845 10.57.467
unknown Fladfisk_4 55.26.771 11.04.222
unknown Fladfisk_5 55.26.607 11.04.469
unknown Fladfisk_6 55.26.625 11.04.715
unknown Fladfisk_7 55.30.320 11.06.008
unknown Fladfisk_8 55.18.887 10.57.747
unknown Fladfisk_9 55.19.362 10.57.261
unknown Fladfisk_10 55.23.200 10.58.715
unknown Fladfisk_11 55.25.737 11.06.075
unknown Anemonevraget_(Vrag) 55.49.874 12.41.625
unknown Birgit_(Vrag) 56.04.893 12.36.198
unknown Brostensvraget_(Vrag) 56.18.098 12.20.422
unknown Cementbåden_(Vrag) 55.51.982 12.44.584
unknown Ceylon_(Vrag) 55.56.321 12.38.164
unknown Cronborg_(Vrag) 55.40.202 12.41.917
unknown Desdemona_(Vrag) 56.13.772 12.11.448
unknown Englænderen_(Vrag) 56.05.720 12.32.110
unknown Eisfish_(Vrag) 56.16.116 12.11.560
unknown Ekko_(Vrag) 56.07.750 12.30.414
unknown Ernte_(Vrag) 55.51.982 12.36.357
unknown Fusion_H10_(Vrag) 56.10.709 12.21.254
unknown Hotellet_(Vrag) 56.05.173 12.38.568
unknown Hven_Prammen_(Vrag) 55.55.137 12.38.423
unknown Hven_Vest_(Vrag) 55.53.427 12.38.423
unknown Johanne_(Vrag) 56.19.693 12.23.342
unknown Johannes_L._(Vrag) 56.00.107 12.43.293
unknown Livlig_(Vrag) 55.53.659 12.39.610
unknown Mir’s_Vrag_(Vrag) 56.13.373 12.16.006
unknown Møen_(Vrag) 55.46.628 12.45.568
unknown Norreborg,_Hven_(Vrag) 55.55.162 12.42.460
unknown Nyt_Møllevrag_(Vrag) 56.14.005 12.27.009
unknown Patentanker_(Vrag) 56.07.241 12.27.058
unknown Rubine_(Vrag) 55.54.374 12.38.895
unknown Sigrid_S/S_(Vrag) 56.13.869 12.14.551
unknown Sinne_Nordfisk_(Vrag) 55.49.120 12.42.095
unknown Sjælland_(Vrag) 55.58.620 12.33.558
unknown Stenfragteren_(Vrag) 56.16.876 12.17.309
