Fish_type,Location_name,latitude,longitude
Bornholm Laks,31’eren,55.40833333333333,14.98611111111111
Bornholm Laks,Anders Sten,55.57222222222222,15.15
Bornholm Laks,Davids Banke,55.36666666666667,14.683333333333334
Bornholm Laks,Don’s Knold,55.44444444444444,14.902777777777777
Bornholm Laks,Gravstenen øst,55.483333333333334,14.924999999999999
Bornholm Laks,Navn Ukendt,55.225388888888894,15.04363888888889
Bornholm Laks,Navn Ukendt,55.220666666666666,15.035694444444445
Bornholm Laks,Navn Ukendt,55.23769444444444,15.02075
Bornholm Laks,Navn Ukendt,55.29722222222222,14.497222222222222
Bornholm Laks,Navn Ukendt,55.2,15.230555555555556
Bornholm Laks,Navn Ukendt,55.22855555555556,15.018277777777778
Bornholm Laks,Nejlen,55.37222222222222,15.03888888888889
Bornholm Laks,Nordstenen nord,55.513888888888886,15.33888888888889
Bornholm Laks,Nordstenen syd,55.488888888888894,15.308333333333334
Bornholm Laks,NV Grund,55.35555555555556,15.15
Bornholm Laks,Stablen,55.1,15.222222222222223
Bornholm Laks,Terrassen,55.27777777777778,15.2
unknown,Winnie Rita,57.41588888888889,8.331194444444444
unknown,Rana,57.36588888888889,8.197888888888889
unknown,Sikka L910,57.43944444444444,8.38675
unknown,Jonni Boy,57.43944444444444,8.403722222222221
unknown,Kristina Laban,57.33255555555556,7.997888888888889
unknown,Constantin,57.32638888888889,8.491972222222222
unknown,Sten Pram 1,57.32413888888889,8.354694444444444
unknown,Sten Pram 2,57.25416666666667,8.474777777777778
unknown,Herman Krone,57.22027777777778,8.582055555555556
unknown,Krigsskibet,57.2325,7.765
unknown,Fiskekutter,57.27172222222222,8.240138888888888
unknown,Sten Knold 1,57.32694444444445,8.361944444444443
unknown,Sten Knold 2,57.32191666666667,8.316666666666666
unknown,Knold 1,57.12430555555556,7.876805555555556
unknown,Knold 2,57.25555555555555,8.097777777777779
unknown,Knold 3,57.125277777777775,7.879166666666667
unknown,Knold 4,57.28916666666667,7.961666666666667
unknown,Knold 5,57.38805555555555,7.8694444444444445
unknown,Knold 6,57.285,8.295
unknown,Knold 7,57.32194444444445,8.316666666666666
unknown,God Knold 1,57.30888888888889,8.539333333333333
unknown,God Knold 2,57.29416666666667,7.983333333333333
unknown,Knolde 1,57.286944444444444,7.973055555555556
unknown,Knolde 2,57.32694444444445,8.361944444444443
unknown,Stor Knold,57.34166666666667,8.243333333333334
unknown,Sten 1,57.37405555555556,8.691555555555555
unknown,Sten 2,57.42469444444444,7.897222222222222
unknown,Stentoppe,57.11388888888889,8.424999999999999
unknown,Sten Bonito,57.358916666666666,8.443694444444445
unknown,Sten Mølboen 1,57.12113888888889,8.176333333333332
unknown,Sten Mølboen 2,57.135222222222225,8.258416666666667
unknown,Stenhullet Yderkant,57.31916666666666,8.011
unknown,Kæmpe Sten,57.338750000000005,8.539333333333333
unknown,Store Sten,57.18688888888889,8.57936111111111
unknown,Kalksten,57.17569444444444,8.569361111111112
unknown,Store Torsk,57.34238888888889,8.546
unknown,Store Torsk Skrænt 1,57.288333333333334,8.396944444444443
unknown,Store Torsk Skrænt 2,57.29255555555555,8.410333333333332
unknown,Hul 1 (mange fisk),57.31602777777778,7.593611111111111
unknown,Hul 2 (mange fisk),57.31222222222222,7.584444444444444
unknown,Thailand (langer),57.26877777777778,6.967833333333333
unknown,Stenområde1,57.307249999999996,8.262777777777778
unknown,Stenområde 2,57.134972222222224,8.588305555555555
unknown,Stenområde 3,57.323277777777776,8.066666666666666
unknown,Stenområde 4,57.286944444444444,7.973055555555556
unknown,Stenområde 5,57.318555555555555,8.006444444444444
unknown,Stenområde 6,57.29255555555555,8.410333333333332
unknown,Stenområde 7,57.29427777777778,8.396944444444443
unknown,Stenområde 8,57.2885,8.396944444444443
unknown,Det Gule Rev,57.288333333333334,8.396944444444443
unknown,Firkant punkt 1,57.15,8.26388888888889
unknown,Firkant punkt 2,57.13055555555555,8.3
unknown,Firkant punkt 3,57.1,8.233333333333333
unknown,Firkant punkt 4,57.11666666666667,8.213888888888889
unknown,Norsk Position,57.34166666666667,8.243333333333334
unknown,Ukendt Navn,57.26694444444444,8.235166666666666
unknown,Ukendt Navn,57.34277777777778,8.102500000000001
unknown,Ukendt Navn,57.32416666666666,8.354722222222223
unknown,Ukendt Navn,57.28916666666667,7.961666666666667
unknown,Ukendt Navn,57.130833333333335,8.302222222222223
unknown,Ukendt Navn,57.11938888888889,8.215277777777777
unknown,Ukendt Navn,57.11416666666667,8.425027777777776
unknown,Ukendt Navn,57.341750000000005,8.243333333333334
unknown,Ukendt Navn,57.322138888888894,8.317777777777778
unknown,Urania (Vrag),56.301138888888886,12.304194444444445
unknown,Cementvraget (Vrag),56.40161111111111,12.5125
unknown,Holmen VI (Vrag),56.35313888888889,12.438333333333334
unknown,Farnes M/S (Vrag),56.469944444444444,12.514916666666666
unknown,Kulfragteren (Vrag),56.49225,12.343972222222222
unknown,Pernod (Vrag),56.305166666666665,12.468194444444444
unknown,Stenfragteren (vrag),56.29002777777778,12.289944444444444
unknown,Eisfish (vrag),56.267916666666665,12.19813888888889
unknown,Sigrid S/S (vrag),56.23986111111111,12.246555555555554
unknown,Mir (vrag),56.22588888888889,12.275694444444444
unknown,Fusion H10 (vrag),56.18544444444444,12.354527777777777
unknown,Fladfisk (Skrænt),55.95483333333333,11.840111111111112
unknown,Amager1,55.49916666666667,12.600277777777777
unknown,Amager2,55.49888888888889,12.622777777777777
unknown,Bøgeskoven,55.36736111111111,12.454777777777778
unknown,Hul2,55.524055555555556,12.483972222222222
